Date,Adj Close,Volume,press release,Price change 12mo,Price change 8mo,Price change 4mo
2015-01-01,20.20459,659832000,,,,
2015-02-01,22.765928,614928400,,,,
2015-03-01,21.238424,630441700,,,,
2015-04-01,22.411543,489815600,,,,
2015-05-01,22.784681,515367400,,,,
2015-06-01,21.346554,507210100,,,,
2015-07-01,22.092825,520262100,,,,
2015-08-01,20.273342,690472400,,,,
2015-09-01,20.56319,556873700,,,,
2015-10-01,22.599924,509869000,,,,
2015-11-01,21.518703,630676000,,,,
2015-12-01,21.447624,501981100,,,,
2016-01-01,18.786417,786284200,,,,
2016-02-01,20.834843,677901900,,,,
2016-03-01,22.657293,498221500,,,,
2016-04-01,21.877375,443380900,,,,
2016-05-01,23.330299,542483400,,,,
2016-06-01,23.04118,498272800,,,,
2016-07-01,24.518902,441933000,,,,
2016-08-01,25.479757,546905700,,,,
2016-09-01,25.706673,439303800,,,,
2016-10-01,24.863832,368562000,,,,
2016-11-01,24.366596,569547500,,,,
2016-12-01,24.693439,440511100,,,,
2017-01-01,25.102005,388921600,,,,
2017-02-01,28.169062,476211300,,,,
2017-03-01,27.855892,404059400,,,,
2017-04-01,28.078413,323261900,,,,
2017-05-01,26.21146,548285400,,,,
2017-06-01,26.02026,480792900,,,,
2017-07-01,26.144953,344250200,,,,
2017-08-01,27.026928,505600300,,,,
2017-09-01,28.218433,415433800,,,,
2017-10-01,28.654753,336242900,,,,
2017-11-01,31.568329,476356800,,,,
2017-12-01,32.414658,373030900,,,,
2018-01-01,35.156788,504812100,,,,
2018-02-01,38.181602,703752400,,,,
2018-03-01,36.570087,597830400,,,,
2018-04-01,37.763802,491494900,,,,
2018-05-01,36.70937,500681500,,,,
2018-06-01,36.984406,463650000,,,,
2018-07-01,36.348373,450479900,,,,
2018-08-01,41.378456,441384400,"We had a very strong finish to a great year and generated our highest quarterly revenue of $12.8 billion. Our results demonstrate a combination of strong customer adoption of our latest innovations, the ongoing value customers see in our software and subscription offerings, and excellent execution across our customer segments and geographies. Our strategy is working and we believe that are well-positioned to capture growth across our portfolio with our pipeline of innovation.",4.635539999999999,4.117553999999998,0.366970000000002
2018-09-01,42.140717,365543500,,,,
2018-10-01,39.628735,549746900,,,,
2018-11-01,41.745426,526861100,,,,
2018-12-01,37.786278,606735800,,,,
2019-01-01,41.239635,442759300,,,,
2019-02-01,45.49601,426421600,,,,
2019-03-01,47.446968,432755900,,,,
2019-04-01,49.169445,349640500,,,,
2019-05-01,46.013996,514801500,,,,
2019-06-01,48.40181,535912200,,,,
2019-07-01,48.994347,325862700,,,,
2019-08-01,41.658825,509693100,"Our Q4 results marked a strong end to a great year. We are executing well in a dynamic environment, delivering tremendous innovation across our portfolio and extending our market leadership. e are committed to providing our customers ongoing value through differentiated solutions, and we are well positioned to take advantage of the long-term growth opportunities ahead.",1.945968999999998,-5.5905229999999975,-1.0295109999999994
2019-09-01,43.972713,369072000,,,,
2019-10-01,42.281788,403870500,,,,
2019-11-01,40.629314,437190200,,,,
2019-12-01,43.00555,424411900,,,,
2020-01-01,41.22113,379259100,,,,
2020-02-01,36.068302,560728700,,,,
2020-03-01,35.508263,991833100,,,,
2020-04-01,38.281357,488969500,,,,
2020-05-01,43.604794,491568200,,,,
2020-06-01,42.528801,571339300,,,,
2020-07-01,42.948254,390133500,,,,
2020-08-01,38.801682,481274600,"By the end of fiscal 2020, we achieved our goal of more than half of our revenue coming from software and services, and this strategy continues to resonate with customers as they digitize their organizations. Throughout fiscal 2020, Cisco has demonstrated operational resilience based on our strong customer relationships, solid financial foundation, and differentiated innovation. As we focus on the future, we are rebalancing our R&D investments to focus on new areas so we can continue to offer customers the best, most relevant technology in simpler, more easily consumable ways.",11.016254000000004,3.153320000000001,1.0999029999999976
2020-09-01,36.200806,549433800,,,,
2020-10-01,32.993385,511026900,,,,
2020-11-01,39.901585,535169500,,,,
2020-12-01,41.50618,381540200,,,,
2021-01-01,41.348507,400887800,,,,
2021-02-01,41.955002,399483100,,,,
2021-03-01,48.350636,580029400,,,,
2021-04-01,47.602612,349593300,,,,
2021-05-01,49.817936,465864200,,,,
2021-06-01,49.912113,361448700,,,,
2021-07-01,52.144035,312258300,,,,
2021-08-01,55.968884,341880000,"We continue to see great momentum in our business as customers are looking to modernize their organizations for agility and resiliency. The demand for Cisco technology is strong with our Q4 performance marking the highest product order growth in over a decade. With the power of our portfolio, we are well positioned to help our customers accelerate their digital transformation and thrive in a hybrid world. We executed exceptionally well delivering strong results across revenue, non-GAAP net income, non-GAAP EPS and record operating cash flow. Our performance reflects the impact of our investments in high growth opportunities resulting in our strong product order growth. As we continue to drive our business model transformation to more recurring revenue, we now have built up over $30 billion in remaining performance obligations.",-12.409493000000005,-2.4109650000000045,-3.612591000000002
2021-09-01,51.616169,371816500,,,,
2021-10-01,53.076553,295647600,,,,
2021-11-01,52.356293,509919500,,,,
2021-12-01,60.499966,471636400,,,,
2022-01-01,53.148697,480940800,,,,
2022-02-01,53.557919,419601200,,,,
2022-03-01,53.548317,500035600,,,,
2022-04-01,47.037239,383849000,,,,
2022-05-01,43.559391,645254200,,,,
2022-06-01,41.22913,491026400,,,,
2022-07-01,43.868805,368402100,,,,
2022-08-01,43.629494,429950500,"We had a strong end to our fiscal year thanks to our Q4 performance. Our teams executed well in the midst of an incredibly dynamic environment, resulting in the highest full year non-GAAP earnings per share in the history of the company. Full year product orders and backlog are both at record highs and reflect the strong demand we continue to see for our innovation and the overall value we bring to our customers as they accelerate their digital transformation. Total revenue exceeded our expectations in Q4, as a result of our strong execution and the numerous initiatives we have taken to reduce the impact of the global supply situation. Our operational discipline is reflected in our healthy operating margin and strong cash flow generation, enabling us to return nearly $4 billion to our shareholders in Q4. And we continue to make good progress in our business model transformation with RPO of over $31 billion, which, coupled with our record backlog, provide us with substantial visibility and confidence in our future revenue.",6.0405039999999985,4.4295079999999984,5.328646999999997
2022-09-01,39.02459,408782100,,,,
2022-10-01,44.322186,414712600,,,,
2022-11-01,48.958141,424022500,,,,
2022-12-01,46.910011,376149200,,,,
2023-01-01,47.924225,327369800,,,,
2023-02-01,48.059002,388264600,,,,
2023-03-01,51.890224,426796100,,,,
2023-04-01,46.897728,349961900,,,,
2023-05-01,49.669998,449028900,,,,
