Date,Adj Close,Volume,press release,Price change 12mo,Price change 8mo,Price change 4mo
2015-01-01,59.490513,326819500,,,,
2015-02-01,60.252693,276447700,,,,
2015-03-01,58.279072,330260500,,,,
2015-04-01,59.903996,251671200,,,,
2015-05-01,58.416176,198924100,,,,
2015-06-01,57.516708,238808600,,,,
2015-07-01,54.758396,274029000,,,,
2015-08-01,52.013924,387523600,,,,
2015-09-01,51.879585,316644500,,,,
2015-10-01,57.733891,318077700,,,,
2015-11-01,56.980305,264207900,,,,
2015-12-01,54.865723,367069000,,,,
2016-01-01,54.795338,418954700,,,,
2016-02-01,56.414207,359915800,,,,
2016-03-01,59.369484,292841700,,,,
2016-04-01,62.785763,221801200,,,,
2016-05-01,63.226109,219170200,,,,
2016-06-01,67.138031,252091800,,,,
2016-07-01,63.707375,209716200,,,,
2016-08-01,62.411007,235412300,,,,
2016-09-01,63.04435,271447100,,,,
2016-10-01,60.183945,192041100,,,,
2016-11-01,63.0588,233089000,,,,
2016-12-01,65.774193,220435500,,,,
2017-01-01,61.132229,252514500,,,,
2017-02-01,59.259434,237345100,,,,
2017-03-01,60.308739,315475000,,,,
2017-04-01,60.043976,192624700,,,,
2017-05-01,59.198303,220122400,,,,
2017-06-01,59.928043,303836700,,,,
2017-07-01,59.415859,201333900,,,,
2017-08-01,56.6618,224413200,,,,
2017-09-01,61.445827,216249200,,,,
2017-10-01,62.472664,172408300,,,,
2017-11-01,62.4277,191810600,,,,
2017-12-01,63.270222,220601300,,,,
2018-01-01,66.038872,233944600,Our exploration success and strategic acquisitions made during a period of low commodity prices are adding high-quality resources that are among the lowest cost of supply in the industry. ExxonMobil’s portfolio of development opportunities positions us to grow shareholder value as we bring on new supplies of oil and natural gas to meet growing demand. ,-12.318233999999997,0.26840900000000545,-3.9557459999999978
2018-02-01,57.294182,369414700,,,,
2018-03-01,57.016544,356741300,,,,
2018-04-01,59.416092,285826800,,,,
2018-05-01,62.083126,299337700,,,,
2018-06-01,63.862595,257136500,,,,
2018-07-01,62.920837,204469200,,,,
2018-08-01,61.886444,215072500,,,,
2018-09-01,66.307281,227023600,,,,
2018-10-01,62.142601,305909200,,,,
2018-11-01,62.002216,287081300,,,,
2018-12-01,53.720638,380647000,,,,
2019-01-01,57.730587,269226500,"We continue to add high-value, attractive assets to our portfolio that have positioned the company for long-term growth. Our unique strengths, integrated businesses and technical expertise continue to grow value for our shareholders. Multiple new discoveries offshore Guyana, continued growth in the Permian Basin and a strategic acquisition in Brazil greatly enhanced our already strong portfolio of high-quality, low-cost-of-supply opportunities",-0.12440099999999887,-0.13380800000000193,-1.3584209999999999
2019-02-01,62.260471,245067300,,,,
2019-03-01,64.36161,272454400,,,,
2019-04-01,63.947395,219523400,,,,
2019-05-01,56.372166,250094000,,,,
2019-06-01,61.739651,218953600,,,,
2019-07-01,59.910736,186899500,,,,
2019-08-01,55.173317,277599800,,,,
2019-09-01,57.596779,215355500,,,,
2019-10-01,55.117039,237608200,,,,
2019-11-01,55.573837,249330500,,,,
2019-12-01,57.606186,286029400,,,,
2020-01-01,51.282551,359133900,"Our operations performed well, while short-term supply length in the downstream and chemicals businesses impacted margins and financial results. Growth in demand for the products that underpin our businesses remains strong. We remain focused on improving our base businesses, driving efficiencies, and optimizing the value of our investment portfolio.",-14.536155999999998,-21.399361,-13.206344999999999
2020-02-01,42.465782,479874900,,,,
2020-03-01,31.795774,1171277200,,,,
2020-04-01,38.913601,791507100,,,,
2020-05-01,38.076206,477169600,,,,
2020-06-01,38.174267,584980000,,,,
2020-07-01,35.920685,447137800,,,,
2020-08-01,34.093918,449216800,,,,
2020-09-01,29.88319,590803600,,,,
2020-10-01,28.394688,630433400,,,,
2020-11-01,33.190975,703960200,,,,
2020-12-01,36.746395,603794500,,,,
2021-01-01,39.973515,594784100,"The past year presented the most challenging market conditions ExxonMobil has ever experienced While the effects of the pandemic significantly impacted our 2020 results, our previously executed strategic initiatives and reorganizations enabled us to respond decisively to permanently improve our cost structure, drive greater efficiencies across our businesses, and emerge a stronger company. These improvements are expected to deliver structural expense savings of $6 billion per year by 2023, relative to 2019. We remain focused on increasing long-term value for our shareholders by investing in our highest-return assets, preserving the strength of the balance sheet, and paying a reliable dividend. We’ve built a flexible capital program that is robust to a range of market scenarios and focused on our highest-return opportunities to drive greater cash flow, cover the dividend, and increase the earnings potential of our business in the near and longer term.",17.929817,14.948996999999999,12.945262
2021-02-01,48.469223,543959000,,,,
2021-03-01,50.615997,790785000,,,,
