,Company,Date,Adj Close,Volume,press release,Price change 12mo,Price change 8mo,Price change 4mo,Price change,Price change pct,Compound,Negative,Neutral,Positive,polarity,subjectivity,text length,word_count,word_density,punctuation_count,upper_case_word_count,stopword_count,readability,noun_count,verb_count,adj_count,adv_count,pron_count,top_words,Price change sign long,Price change sign mid,Price change sign short,word_calculation
36,abbott,2018-01-01,56.711449,156001900,"2017 was a great year for us — we performed well, our new product pipeline was highly productive and we took some very important strategic steps forward. e’re entering 2018 with very good momentum.",5.133094,-0.5322269999999989,-3.423134000000005,0.0,0.0,0.8882,0.0,0.723,0.277,0.5052727272727273,0.7049090909090909,197.0,34.0,5.628571428571429,3.0,0.0,12.0,10.766924444444443,8.0,6.0,6.0,5.0,4.0,"[('2017', 1), ('great', 1), ('year', 1), ('performed', 1), ('new', 1), ('product', 1), ('pipeline', 1), ('highly', 1), ('productive', 1), ('took', 1)]",1.0,-1.0,-1.0,1.4507462686567167
48,abbott,2019-01-01,67.803299,157850300,"2018 was another outstanding year for Abbott. We exceeded the organic sales growth range we set at the beginning of the year, achieved a number of significant advances in our pipeline, and significantly improved our balance sheet and strategic flexibility. We’re very well-positioned heading into 2019.",12.457611,11.01477,6.456009000000009,0.0,0.0,0.9217,0.0,0.725,0.275,0.3625,0.73125,302.0,46.0,6.425531914893617,6.0,0.0,18.0,10.108523280423281,14.0,6.0,6.0,2.0,5.0,"[('year', 2), ('2018', 1), ('outstanding', 1), ('Abbott', 1), ('exceeded', 1), ('organic', 1), ('sales', 1), ('growth', 1), ('range', 1), ('set', 1)]",1.0,1.0,1.0,0.6279546365864033
60,abbott,2020-01-01,82.301605,119657000,Our focus on organic growth is driving top-tier performance. We're entering 2020 with very good momentum and targeting continued strong growth.,22.371323000000004,4.783768000000009,5.044571000000005,0.0,0.0,0.8932,0.0,0.592,0.408,0.6716666666666666,0.7566666666666667,143.0,21.0,6.5,4.0,0.0,6.0,11.585155348516219,5.0,6.0,4.0,1.0,2.0,"[('growth', 2), ('focus', 1), ('organic', 1), ('driving', 1), ('tier', 1), ('performance', 1), ('entering', 1), ('2020', 1), ('good', 1), ('momentum', 1)]",1.0,1.0,1.0,1.1136143346227378
72,abbott,2021-01-01,118.568031,108930500,"Despite challenging conditions, we achieved double-digit EPS growth, delivered ground-breaking innovation and advanced our new product pipeline in 2020. We exited the year with a lot of momentum and are forecasting EPS growth of more than 35 percent in 2021.",4.067504999999997,-6.490669000000011,-2.903244000000001,0.0,0.0,0.8103,0.031,0.757,0.212,0.3840909090909091,0.6386363636363637,258.0,40.0,6.2926829268292686,6.0,2.0,15.0,13.340373121019109,12.0,6.0,5.0,0.0,3.0,"[('EPS', 2), ('growth', 2), ('Despite', 1), ('challenging', 1), ('conditions', 1), ('achieved', 1), ('double', 1), ('digit', 1), ('delivered', 1), ('ground', 1)]",1.0,-1.0,-1.0,0.2229136185355091
84,abbott,2022-01-01,124.170898,155539600,"2021 was an outstanding year for Abbott. We achieved more than 40 percent EPS growth, exceeding the baseline EPS guidance we set at the beginning of last year and, importantly, continued to advance our new product pipeline across the portfolio.",-22.969223,-17.52789999999999,-13.209739,0.0,0.0,0.836,0.0,0.806,0.194,0.30727272727272725,0.5792424242424242,244.0,40.0,5.951219512195122,5.0,2.0,14.0,12.3292,12.0,6.0,5.0,1.0,3.0,"[('year', 2), ('EPS', 2), ('2021', 1), ('outstanding', 1), ('Abbott', 1), ('achieved', 1), ('40', 1), ('percent', 1), ('growth', 1), ('exceeding', 1)]",-1.0,-1.0,-1.0,1.8580783328945507
45,accenture,2018-10-01,146.75885,53970000,"We are very pleased with our outstanding financial results for the fourth quarter and the full fiscal year 2018. For the year, our broad-based revenue growth of 10.5 percent in local currency and record new bookings of $42.8 billion reflect continued excellent demand for our services. We also delivered 14 percent EPS growth on an adjusted basis, generated very strong free cash flow and returned $4.3 billion in cash to our shareholders. We continue to benefit from the significant investments we have made to further strengthen our leadership position in high-growth areas such as digital, cloud and security services, which accounted for approximately 60 percent of total revenues for the year. Our growth strategy and innovation-led approach are clearly resonating with our clients. With our durable business model and disciplined management, we are very well-positioned to continue gaining market share and delivering value for our clients and shareholders.",21.94207800000001,18.63005100000001,-2.482833999999997,0.0,0.0,0.9912,0.008,0.736,0.255,0.21526094276094276,0.53006734006734,963.0,148.0,6.4630872483221475,20.0,1.0,60.0,11.15462882882883,42.0,17.0,23.0,7.0,14.0,"[('growth', 4), ('year', 3), ('percent', 3), ('$', 2), ('billion', 2), ('services', 2), ('cash', 2), ('shareholders', 2), ('continue', 2), ('clients', 2)]",1.0,1.0,-1.0,11.48307036946131
57,accenture,2019-10-01,175.664246,42679200,"“I am proud that we have delivered another year of outstanding financial results, meeting or exceeding all the objectives in our initial business outlook for fiscal 2019. For the year, our record new bookings of $45.5 billion and revenue growth of 8.5 percent in local currency demonstrate excellent demand for our services, and we gained significant market share. We also delivered very strong profitability and returned a record $4.6 billion in cash to our shareholders, while continuing to invest across the business. As we look ahead to fiscal 2020, we will continue to be laser-focused on creating value for our clients, being a magnet for the best people in the industry and maximizing shareholder value.",17.778823000000017,-19.72905,19.584030000000013,0.0,0.0,0.9869,0.011,0.723,0.266,0.437469696969697,0.5457878787878788,710.0,115.0,6.120689655172414,16.0,1.0,49.0,10.65584827586207,31.0,15.0,13.0,3.0,11.0,"[('delivered', 2), ('year', 2), ('business', 2), ('fiscal', 2), ('record', 2), ('$', 2), ('billion', 2), ('value', 2), ('proud', 1), ('outstanding', 1)]",1.0,-1.0,1.0,11.332905307817603
69,accenture,2020-10-01,208.875427,37834400,"Accenture’s fiscal 2020 results demonstrate the relevance of our growth strategy, the resilience of our business and our people, our disciplined management of the business, and the power of our relationships with the world’s leading companies and ecosystem partners. Our ability to pivot rapidly to meet the needs of our clients and new ways of operating is reflected in our record new bookings of $50 billion for fiscal 2020. We also continued to deliver revenue growth ahead of the market as well as strong profitability and superior cash flow. As we turn the page to fiscal 2021, we are better positioned than ever to continue gaining market share and delivering tangible value for our clients and shared success for all our stakeholders.",65.67623900000001,59.09628299999997,24.99581900000001,0.0,0.0,0.9847,0.0,0.757,0.243,0.36767676767676766,0.5070707070707071,741.0,122.0,6.024390243902439,9.0,0.0,53.0,10.211598412698413,37.0,17.0,10.0,7.0,13.0,"[('fiscal', 3), ('2020', 2), ('growth', 2), ('business', 2), ('clients', 2), ('new', 2), ('market', 2), ('Accenture', 1), ('results', 1), ('demonstrate', 1)]",1.0,1.0,1.0,11.847531124560469
81,accenture,2021-10-01,350.100861,35413000,"We are very proud of our outstanding fiscal 2021 financial performance, reflecting growth significantly above the market and strong momentum heading into fiscal 2022. Our results reflect the dedication and hard work of our 624,000 incredible people, who are laser-focused on creating tangible value for our clients, innovating with our ecosystem, and being the trusted partner of choice on our clients’ transformation journeys. We delivered these results while investing in our people and in the capabilities our clients need, now and in the future, and at the same time making progress on our sustainability goals — from progress in inclusion and diversity, to the use of renewable energy now at 50%. across the globe, to supporting our communities during these challenging times. We measure our success by this 360° value creation.",-56.375,-19.205262000000005,-4.059540000000027,0.0,0.0,0.9891,0.009,0.729,0.262,0.29930555555555555,0.4708333333333334,833.0,131.0,6.3106060606060606,16.0,0.0,63.0,10.654506616541353,37.0,17.0,13.0,4.0,15.0,"[('clients', 3), ('fiscal', 2), ('results', 2), ('people', 2), ('value', 2), ('progress', 2), ('proud', 1), ('outstanding', 1), ('2021', 1), ('financial', 1)]",-1.0,-1.0,-1.0,0.6709285014204432
93,accenture,2022-10-01,280.390594,46327800,"Our exceptional performance in fiscal 2022 is a testament to our ability to create enduring 360° Value for all our stakeholders: clients, people, shareholders, partners and communities. The depth, breadth and relevance of our services uniquely position us to help our clients achieve resilience, agility and growth across every part of the enterprise. Records across all financial metrics - new bookings, revenues, EPS and cash flow, reflect the continued successful execution of our growth strategy. We delivered these results while proudly making progress on our sustainability goals, including advancing inclusion and diversity; exceeding 85% renewable electricity use in our offices and centers globally; and continuing to make a positive impact on the communities where we work and live. I want to thank our 721,000 incredibly talented people, whose dedication and passion make us a trusted partner to our clients as we help them embrace today’s accelerated pace of change.",25.52941899999996,4.301452999999981,-3.5644530000000145,0.0,0.0,0.9918,0.0,0.737,0.263,0.3791666666666666,0.635,978.0,149.0,6.52,21.0,2.0,53.0,11.617731258278145,54.0,21.0,10.0,5.0,18.0,"[('clients', 3), ('people', 2), ('communities', 2), ('help', 2), ('growth', 2), ('exceptional', 1), ('performance', 1), ('fiscal', 1), ('2022', 1), ('testament', 1)]",1.0,1.0,-1.0,6.175671031623833
